shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6132505 41.1537434, -8.6132205 41.1537042, -8.6132 41.1536912, -8.613165 41.1536741, -8.6131327 41.1536626, -8.6130889 41.1536532, -8.6130433 41.153649, -8.6121499 41.153643, -8.6120732 41.1536293, -8.6119957 41.153597)",25632293,25620653,"[643196090, 498298756]",True,110.23599999999999
"LINESTRING (-8.6207549 41.1526088, -8.6207489 41.1525519, -8.6207521 41.1525281, -8.6207584 41.1525043, -8.6212767 41.1516791)",25632361,25632227,8367073,False,113.207
"LINESTRING (-8.6207549 41.1526088, -8.6210121 41.1533068, -8.6210314 41.1533685, -8.6210417 41.1534427, -8.6210452 41.1535866, -8.6209435 41.154823)",25632361,4612022469,34683151,False,249.639
"LINESTRING (-8.6207549 41.1526088, -8.6192752 41.1524145, -8.6179199 41.1522366)",25632361,25632279,252518836,True,240.94299999999998
"LINESTRING (-8.6226637 41.1477709, -8.622827 41.1478204, -8.6237039 41.1480652, -8.6240692 41.1481681, -8.6241792 41.1481991)",25632362,128677717,156211618,False,135.53799999999998
"LINESTRING (-8.6226637 41.1477709, -8.6226049 41.1477564, -8.6224903 41.1477282, -8.6221516 41.1476373, -8.6218374 41.1475571)",25632362,1874214575,434860177,False,73.16199999999999
"LINESTRING (-8.6203514 41.1474495, -8.6204003 41.1473455, -8.6204201 41.1472196)",25632363,2250794621,156211619,True,26.365000000000002
"LINESTRING (-8.6203514 41.1474495, -8.6204237 41.147415, -8.620512 41.1473904, -8.6206422 41.1473629)",25632363,1684865542,156211620,True,26.373
"LINESTRING (-8.6149639 41.1491595, -8.6149312 41.14934, -8.614841 41.1496608, -8.614815 41.1498424, -8.6148113 41.1498726, -8.6148066 41.1499243)",25632367,25620518,35203817,True,86.16300000000001
"LINESTRING (-8.6156082 41.1485969, -8.6153813 41.1487505, -8.6151135 41.1489304, -8.6150232 41.1490299, -8.6149639 41.1491595)",25632368,25632367,35203817,True,84.239
"LINESTRING (-8.6156082 41.1485969, -8.6155863 41.1486503, -8.615587 41.1486798, -8.6155908 41.1487059, -8.6156627 41.1487981, -8.6156916 41.1488194, -8.6157319 41.148837, -8.6157734 41.1488438, -8.6158817 41.148835, -8.6161302 41.1488108, -8.6161508 41.1488042, -8.6161695 41.148794, -8.6161833 41.1487774, -8.6161933 41.1487613, -8.6161958 41.1487349, -8.6161446 41.1486053, -8.6160258 41.1483049, -8.6160034 41.1482473)",25632368,1684844512,"[374346169, 128825637]",True,132.715
"LINESTRING (-8.6202036 41.1476258, -8.6203102 41.1475031, -8.6203514 41.1474495)",25632371,25632363,28193886,True,23.189999999999998
"LINESTRING (-8.6240719 41.1529176, -8.6228781 41.1527941)",25632372,475052386,30405423,True,100.89
