osmid,shape
111447973,POINT(-8.6613495 41.147489)
111448461,POINT(-8.6533216 41.1485592)
111448467,POINT(-8.6540582 41.1486712)
111449494,POINT(-8.6532736 41.1485143)
111450380,POINT(-8.6532324 41.1483481)
111452218,POINT(-8.6540712 41.1489564)
111459759,POINT(-8.6459497 41.148402)
111459776,POINT(-8.6375375 41.1483305)
111459780,POINT(-8.6359246 41.1481085)
111461666,POINT(-8.6355071 41.1509208)
111461672,POINT(-8.6336503 41.1510793)
111464592,POINT(-8.6449368 41.1539618)
111467270,POINT(-8.6337433 41.1474276)
111467271,POINT(-8.6328764 41.146954)
111467467,POINT(-8.6267551 41.1447585)
111481288,POINT(-8.613438 41.1414248)
111481561,POINT(-8.6145205 41.1416486)
111481848,POINT(-8.6153136 41.1416589)
111503635,POINT(-8.6880628 41.1684974)
111505998,POINT(-8.6882792 41.1726625)
111508025,POINT(-8.6883267 41.1730415)
111508026,POINT(-8.688282 41.1731246)
111508341,POINT(-8.6884308 41.1736164)
111508660,POINT(-8.6889019 41.1747167)
111619640,POINT(-8.689151 41.1735769)
111619646,POINT(-8.6886988 41.1729125)
111622360,POINT(-8.6911853 41.1764537)
111627979,POINT(-8.6891266 41.1765964)
111630982,POINT(-8.6720372 41.1742724)
111633569,POINT(-8.6577885 41.1774721)
111634978,POINT(-8.6571291 41.1775647)
111635267,POINT(-8.6563058 41.1783009)
111635403,POINT(-8.6560048 41.178011)
111636733,POINT(-8.6557174 41.1777115)
111636738,POINT(-8.6550442 41.1780031)
111636742,POINT(-8.655249 41.1783026)
111636743,POINT(-8.6552994 41.1783165)
111638824,POINT(-8.6568078 41.1787663)
111641067,POINT(-8.6499415 41.180645)
111641069,POINT(-8.6519825 41.1794714)
111641071,POINT(-8.6535509 41.1786955)
111641319,POINT(-8.6563727 41.1790288)
111642668,POINT(-8.6573695 41.1796033)
111644723,POINT(-8.6574452 41.1794889)
111645303,POINT(-8.6581699 41.1795319)
111649545,POINT(-8.6542056 41.17718)
111799455,POINT(-8.6302214 41.1582765)
111830195,POINT(-8.6465544 41.1608924)
112263308,POINT(-8.6526817 41.1758181)
112265315,POINT(-8.6527948 41.1777597)
112288397,POINT(-8.6534286 41.1755873)
112288401,POINT(-8.6533976 41.1753435)
112290052,POINT(-8.6517451 41.1761621)
112290053,POINT(-8.6532698 41.1750611)
112290054,POINT(-8.6535476 41.1748229)
112291402,POINT(-8.6529931 41.1752892)
112552931,POINT(-8.6526768 41.1749388)
112552937,POINT(-8.652882 41.1749473)
112580224,POINT(-8.6510449 41.1762338)
112580529,POINT(-8.6513189 41.1764453)
112581017,POINT(-8.6516243 41.1766913)
112588576,POINT(-8.6440803 41.1686175)
112589349,POINT(-8.6437941 41.1686011)
112594210,POINT(-8.6371713 41.1645081)
112594236,POINT(-8.6395478 41.1653756)
112594241,POINT(-8.6403342 41.1658371)
112595515,POINT(-8.6405004 41.1656611)
112613531,POINT(-8.6470294 41.1821035)
112613532,POINT(-8.6461401 41.1826059)
112613542,POINT(-8.6422114 41.1842601)
112613584,POINT(-8.6134596 41.1831689)
112613589,POINT(-8.6113737 41.1837498)
112613592,POINT(-8.6095467 41.1844453)
112613596,POINT(-8.6073555 41.1845969)
112613598,POINT(-8.6055783 41.1842187)
112613601,POINT(-8.6034781 41.1837765)
112613628,POINT(-8.5833243 41.181023)
112613629,POINT(-8.5831314 41.1809304)
112613631,POINT(-8.5823907 41.1805609)
112613636,POINT(-8.5766111 41.1809001)
112617114,POINT(-8.5755391 41.1805735)
112617118,POINT(-8.5725586 41.1799678)
112617119,POINT(-8.5721963 41.179962)
112617132,POINT(-8.5677654 41.1742389)
112617134,POINT(-8.5680366 41.1737275)
112617137,POINT(-8.567193 41.1715969)
112617141,POINT(-8.5701353 41.1702078)
112617145,POINT(-8.5705924 41.1697681)
112617147,POINT(-8.5708255 41.1683239)
112617153,POINT(-8.5702377 41.1675045)
112617158,POINT(-8.567845 41.167218)
112617168,POINT(-8.5657587 41.1637248)
112617174,POINT(-8.5645547 41.1623177)
112618339,POINT(-8.5616403 41.1584424)
112618345,POINT(-8.5620708 41.1580913)
112618347,POINT(-8.5620055 41.157845)
112618350,POINT(-8.5615977 41.1576401)
112618358,POINT(-8.5610052 41.1581234)
112618365,POINT(-8.5614715 41.1584475)
112624344,POINT(-8.5587853 41.1561526)
112624370,POINT(-8.5483815 41.1505624)
112624378,POINT(-8.5470652 41.1446972)
112624414,POINT(-8.5389837 41.1371699)
112624423,POINT(-8.5355184 41.1339431)
112627996,POINT(-8.6185777 41.1822401)
112627997,POINT(-8.6193071 41.1817841)
112628000,POINT(-8.6219016 41.1806614)
112628017,POINT(-8.6409582 41.1839497)
112628020,POINT(-8.6416535 41.1843055)
112628026,POINT(-8.6462068 41.1827697)
112640152,POINT(-8.6224139 41.1827364)
112641245,POINT(-8.622481 41.1779013)
112651985,POINT(-8.5888345 41.1797965)
112651987,POINT(-8.5895612 41.1798615)
