shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.5181963 41.1374123, -8.5182546 41.1379217)",276930307,1550557132,25410690,False,56.853
"LINESTRING (-8.5181963 41.1374123, -8.5181895 41.1369857, -8.518241 41.1368118, -8.518392199999999 41.1366427)",276930307,276930093,25410114,True,89.92
"LINESTRING (-8.5181963 41.1374123, -8.518014600000001 41.1368562, -8.517890100000001 41.1367071)",276930307,276930104,25410116,True,83.265
"LINESTRING (-8.547233500000001 41.1430261, -8.547280300000001 41.1430254, -8.5473249 41.1430148)",276936246,276936247,25410549,True,7.836
"LINESTRING (-8.5473249 41.1430148, -8.5476215 41.143042)",276936247,1576669347,144079459,True,25.02
"LINESTRING (-8.5473249 41.1430148, -8.5473637 41.1429952, -8.547393599999999 41.1429682, -8.5474123 41.1429359, -8.547418 41.142901)",276936247,276936248,25410549,True,15.649000000000001
"LINESTRING (-8.547418 41.142901, -8.5474105 41.1428662)",276936248,276936249,25410549,True,3.92
"LINESTRING (-8.5474105 41.1428662, -8.5473903 41.1428345, -8.547359 41.1428083, -8.5473192 41.1427898, -8.547274099999999 41.1427806)",276936249,276936251,25410549,True,15.659
"LINESTRING (-8.5474105 41.1428662, -8.547435800000001 41.1427587, -8.547498300000001 41.1426804)",276936249,1327529264,117939936,True,22.299
"LINESTRING (-8.547274099999999 41.1427806, -8.547227299999999 41.1427812, -8.5471827 41.1427918, -8.5471439 41.1428114)",276936251,3332545297,25410549,True,11.748000000000001
"LINESTRING (-8.5470971 41.1429404, -8.5469894 41.1430814)",276936253,276936295,25410555,True,18.087
"LINESTRING (-8.5470971 41.1429404, -8.547117399999999 41.1429722, -8.5471486 41.1429983, -8.5471884 41.1430168, -8.547233500000001 41.1430261)",276936253,276936246,25410549,True,15.661
"LINESTRING (-8.5469894 41.1430814, -8.5472335 41.1430261)",276936295,276936246,25410552,True,21.345
"LINESTRING (-8.5469894 41.1430814, -8.5468618 41.143142)",276936295,2416627175,95142228,False,12.632
"LINESTRING (-8.531020399999999 41.1445611, -8.5310542 41.1445553, -8.5313254 41.1444978, -8.5315096 41.1444166, -8.5316624 41.1443258, -8.532177900000001 41.1439212)",276936864,1548058846,25410560,False,123.01599999999999
"LINESTRING (-8.531020399999999 41.1445611, -8.530658900000001 41.1445548, -8.5303758 41.1444837, -8.5293002 41.1440477, -8.529005099999999 41.143923)",276936864,1549669462,25410560,False,185.889
"LINESTRING (-8.531020399999999 41.1445611, -8.5310387 41.145097, -8.531086500000001 41.145339, -8.531181500000001 41.1454758, -8.5312626 41.145559, -8.531469599999999 41.1456084, -8.5316907 41.145667, -8.532001299999999 41.1457383)",276936864,1549671059,141582181,False,180.45499999999998
"LINESTRING (-8.541072099999999 41.1453292, -8.5412594 41.1453036, -8.541975499999999 41.1450254, -8.542947 41.1448433, -8.5431466 41.1447914, -8.543576 41.1446135)",276936890,1550091526,141434566,False,225.96299999999997
"LINESTRING (-8.541072099999999 41.1453292, -8.540876799999999 41.1453029, -8.5407391 41.1452571, -8.5406303 41.1451924, -8.540531400000001 41.1451059, -8.540191500000001 41.1448085)",276936890,2418364697,141434566,False,97.149
"LINESTRING (-8.541072099999999 41.1453292, -8.541086699999999 41.1454283, -8.541124399999999 41.1456389, -8.541150500000001 41.1458582, -8.541089599999999 41.1463187, -8.541086699999999 41.1465348)",276936890,1550091700,274445217,False,134.688
"LINESTRING (-8.5251487 41.1423231, -8.5251637 41.1422882)",276936903,1326192814,25410597,True,4.079
"LINESTRING (-8.5251155 41.1421884, -8.5250742 41.1421689)",276936905,1550569888,25410597,True,4.082
"LINESTRING (-8.5171227 41.1406805, -8.5171351 41.1405942)",276937359,1550564597,142182575,False,9.652
"LINESTRING (-8.5171227 41.1406805, -8.5171115 41.1407357, -8.516895399999999 41.1418035)",276937359,1550568196,142182575,False,126.31400000000001
"LINESTRING (-8.5390087 41.1374426, -8.539439 41.1380876, -8.540152600000001 41.1392191, -8.540601799999999 41.1399546, -8.540982899999999 41.1404381, -8.541418999999999 41.1408167, -8.541901599999999 41.1411135, -8.542471000000001 41.1413558, -8.5436853 41.1417628, -8.544378699999999 41.1420187, -8.5450035 41.1423138, -8.545552499999999 41.1426855, -8.5459665 41.143039, -8.546331 41.1434634, -8.546629299999999 41.1439714, -8.5467964 41.1444008)",314536381,314536428,"[381421944, 232721626, 232721610, 381421957]",True,1054.4420000000002
"LINESTRING (-8.5467964 41.1444008, -8.546846 41.1448662, -8.5469314 41.1453073, -8.5470077 41.1459734, -8.5473818 41.1476227, -8.547386299999999 41.1477178, -8.5473354 41.1478339)",314536428,1126355510,97236656,True,386.0520000000001
"LINESTRING (-8.5361285 41.1366216, -8.5361506 41.1365471)",314536526,1550554067,28617899,True,8.488
"LINESTRING (-8.5361285 41.1366216, -8.5363735 41.1365994)",314536526,2667888431,261161628,True,20.666
"LINESTRING (-8.5357007 41.1363073, -8.5356328 41.1363367, -8.535576300000001 41.1363776)",314536537,314536539,28617899,True,13.122
"LINESTRING (-8.5357007 41.1363073, -8.535576300000001 41.1362399, -8.5354647 41.1361615)",314536537,314536634,28617908,True,25.615000000000002
"LINESTRING (-8.535576300000001 41.1363776, -8.535534500000001 41.1364274, -8.5355098 41.1364833, -8.5355036 41.136542, -8.535516299999999 41.1366001, -8.5355471 41.1366542, -8.5355942 41.1367012, -8.535654900000001 41.1367384, -8.535725599999999 41.1367635, -8.5358185 41.1367757)",314536539,314536549,28617899,True,60.287
"LINESTRING (-8.5358185 41.1367757, -8.5361478 41.1368915)",314536549,920225964,78413746,True,30.435
"LINESTRING (-8.5358185 41.1367757, -8.5358918 41.1367709, -8.535961800000001 41.1367538, -8.5360248 41.1367252, -8.5360776 41.1366867)",314536549,920226046,28617899,True,24.64
"LINESTRING (-8.536403399999999 41.1359337, -8.536413599999999 41.1360309, -8.5364749 41.1361213, -8.5365521 41.1361656, -8.5366921 41.1361981)",314536587,314536593,28617902,True,42.526
"LINESTRING (-8.536403399999999 41.1359337, -8.5361701 41.1361703, -8.5359315 41.1363008)",314536587,1550551663,28617906,True,57.465
"LINESTRING (-8.5366921 41.1361981, -8.5368822 41.1361025)",314536593,314536622,28617902,True,19.143
"LINESTRING (-8.5379252 41.1354135, -8.5379441 41.1353001)",314536603,314536605,28617900,True,12.708
"LINESTRING (-8.537944100000001 41.1353001, -8.537884699999999 41.1352022, -8.537751 41.1351382)",314536605,314536609,28617900,True,25.235999999999997
"LINESTRING (-8.537944100000001 41.1353001, -8.5379934 41.1352107, -8.5380702 41.1351372, -8.5387222 41.1347377, -8.539202599999999 41.1344947, -8.539710299999999 41.1342728, -8.5397269 41.1342658, -8.5405304 41.1339288, -8.540737200000001 41.1338905)",314536605,314539775,28617984,True,285.62999999999994
"LINESTRING (-8.537751 41.1351382, -8.537629 41.1351325)",314536609,314536611,28617900,True,10.237
"LINESTRING (-8.537629000000001 41.1351325, -8.5375072 41.1351711, -8.5373891 41.1352463, -8.5368133 41.135616, -8.5366438 41.1357331)",314536611,1393977203,"[28617900, 28617901, 28617902]",True,106.648
"LINESTRING (-8.537629000000001 41.1351325, -8.537423 41.1351054, -8.537212 41.1350467, -8.535778499999999 41.1340797, -8.535518400000001 41.1339431)",314536611,112624423,125527455,True,224.073
